0,1,2,3,4
"(0, 0.24207969)","(1, 0.028355796)","(2, 0.16303688)","(3, 0.015321435)","(4, 0.5512062)"
"(0, 0.24367169)","(2, 0.24635044)","(4, 0.50326324)",,
"(0, 0.308202)","(2, 0.07573715)","(3, 0.06655706)","(4, 0.54889494)",
"(0, 0.26440877)","(2, 0.11783535)","(4, 0.6147377)",,
"(0, 0.21017806)","(2, 0.22309434)","(4, 0.56393075)",,
"(0, 0.25653374)","(2, 0.098795556)","(3, 0.020470481)","(4, 0.6236575)",
"(0, 0.1229661)","(1, 0.07482567)","(2, 0.3644071)","(3, 0.014149026)","(4, 0.42365208)"
"(0, 0.33162847)","(2, 0.23960091)","(3, 0.16019174)","(4, 0.26797467)",
"(0, 0.27728754)","(1, 0.08735143)","(2, 0.19687003)","(4, 0.435458)",
"(1, 0.029308554)","(3, 0.017075427)","(4, 0.94817346)",,
"(0, 0.08287713)","(2, 0.0991898)","(4, 0.81436515)",,
"(0, 0.30257505)","(1, 0.119836435)","(2, 0.4363806)","(4, 0.13831502)",
"(0, 0.21517068)","(2, 0.35498872)","(3, 0.10781319)","(4, 0.32163197)",
"(0, 0.17665963)","(1, 0.050624337)","(2, 0.32814083)","(4, 0.44174594)",
"(0, 0.11291949)","(2, 0.20424657)","(4, 0.6790791)",,
"(0, 0.25644657)","(1, 0.061746307)","(2, 0.23555915)","(3, 0.022509897)","(4, 0.4237381)"
"(0, 0.1263699)","(1, 0.20029475)","(4, 0.66984856)",,
"(0, 0.043984003)","(2, 0.13530706)","(4, 0.81730056)",,
"(0, 0.11630375)","(1, 0.044913277)","(2, 0.21427862)","(3, 0.01594403)","(4, 0.6085604)"
"(0, 0.34633666)","(1, 0.10476879)","(2, 0.23733191)","(4, 0.3087411)",
"(0, 0.2566218)","(2, 0.2420391)","(4, 0.49784315)",,
"(0, 0.32823655)","(3, 0.15579788)","(4, 0.51453644)",,
"(0, 0.19972663)","(3, 0.274717)","(4, 0.52381724)",,
"(0, 0.3506728)","(3, 0.104564585)","(4, 0.543193)",,
"(0, 0.36331302)","(2, 0.060438275)","(4, 0.56966627)",,
"(0, 0.2666153)","(1, 0.042979367)","(3, 0.21045351)","(4, 0.4790286)",
"(0, 0.27739057)","(3, 0.21836624)","(4, 0.50254166)",,
"(0, 0.24816953)","(4, 0.7443256)",,,
"(0, 0.22142226)","(2, 0.014265983)","(4, 0.75943285)",,
"(0, 0.24935937)","(1, 0.015713833)","(3, 0.07252479)","(4, 0.66155505)",
"(0, 0.33782342)","(3, 0.1455378)","(4, 0.51543224)",,
"(0, 0.29729852)","(2, 0.031319275)","(4, 0.6665035)",,
"(0, 0.25893196)","(3, 0.0202454)","(4, 0.7194583)",,
"(0, 0.4374013)","(3, 0.28163707)","(4, 0.27932262)",,
"(0, 0.20804708)","(2, 0.062636845)","(3, 0.32700694)","(4, 0.4015965)",
"(0, 0.23261301)","(2, 0.05976796)","(3, 0.029082)","(4, 0.6777699)",
"(0, 0.3310404)","(3, 0.061621305)","(4, 0.6057989)",,
"(0, 0.23544165)","(3, 0.40349713)","(4, 0.35927364)",,
